标题,宝贝描述,价格(元),运费(元),库存,类目,成色,发货地,图片链接,1688货源链接,代发价(元),预估利润(元)
【尘白禁区】二次元福袋 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 尘白禁区 同款二次元福袋，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：尘白禁区 二次元福袋
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥24.8（诚心可小刀）
• 成本参考：代发约 ¥11.0，单件利润约 ¥11.8（毛利率 48%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",24.8,0,10,办公、文化>节庆用品>其他节庆类用品,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01GFtrVW1yoJ4IuYGGU_!!2218541666625-0-cib.jpg,https://detail.1688.com/offer/1053013947539.html,11.0,11.8
【魔女之旅】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 魔女之旅 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：魔女之旅 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥24.8（诚心可小刀）
• 成本参考：代发约 ¥11.0，单件利润约 ¥11.8（毛利率 48%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",24.8,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN0163VJDW2HP5sQsO8zk_!!2216527699142-0-cib.jpg,https://detail.1688.com/offer/902693303074.html,11.0,11.8
【火影忍者】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 火影忍者 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：火影忍者 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥21.9（诚心可小刀）
• 成本参考：代发约 ¥9.9，单件利润约 ¥10.0（毛利率 46%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",21.9,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01GNWhSwzewSC3thOC_!!2218903840099-0-cib.jpg,https://detail.1688.com/offer/1068859307420.html,9.9,10.0
【一二布布】毛绒玩偶 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 一二布布 同款毛绒玩偶，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：一二布布 毛绒玩偶
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥39.9（诚心可小刀）
• 成本参考：代发约 ¥18.0，单件利润约 ¥19.9（毛利率 50%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",39.9,0,10,玩具>毛绒/布艺公仔玩具>公仔抱枕,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01uxUVi12Hok9Kp7IVs_!!2222197389198-0-cib.jpg,https://detail.1688.com/offer/1049558844061.html,18.0,19.9
【爱莉希雅】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 爱莉希雅 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：爱莉希雅 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥47.8（诚心可小刀）
• 成本参考：代发约 ¥21.5，单件利润约 ¥24.3（毛利率 51%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",47.8,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01TZUcEB1MFXaTdAz7s_!!2221472681405-0-cib.jpg,https://detail.1688.com/offer/1009630508705.html,21.5,24.3
【初音未来】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 初音未来 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：初音未来 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥18.9（诚心可小刀）
• 成本参考：代发约 ¥8.5，单件利润约 ¥8.4（毛利率 44%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",18.9,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01uw3C6e1adj9fSR7Kv_!!2222617983353-0-cib.jpg,https://detail.1688.com/offer/1057617074906.html,8.5,8.4
【魔女之旅】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 魔女之旅 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：魔女之旅 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥17.9（诚心可小刀）
• 成本参考：代发约 ¥8.0，单件利润约 ¥7.9（毛利率 44%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",17.9,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01ss3ZKi2HP5sP2Cqpw_!!2216527699142-0-cib.jpg,https://detail.1688.com/offer/901654207169.html,8.0,7.9
【二次元美少女】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 二次元美少女 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：二次元美少女 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥35.8（诚心可小刀）
• 成本参考：代发约 ¥16.0，单件利润约 ¥17.8（毛利率 50%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",35.8,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01q3bzr6fb7kB2b8G8_!!2219430991994-0-cib.jpg,https://detail.1688.com/offer/1075398944280.html,16.0,17.8
【绪山真寻】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 绪山真寻 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：绪山真寻 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥33.8（诚心可小刀）
• 成本参考：代发约 ¥15.0，单件利润约 ¥16.8（毛利率 50%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",33.8,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01BRHilxpCbqD2b8G8_!!2219430991994-0-cib.jpg,https://detail.1688.com/offer/1074339397816.html,15.0,16.8
【蔚蓝档案】手办模型 正版授权包邮 自留送礼绝美 圈内一眼懂,"🌟 蔚蓝档案 同款手办模型，圈内人一眼懂，话题度高、出单快！

【基本信息】
• 款式：蔚蓝档案 手办模型
• 成色：全新现货（1688 代发，仓库直发）
• 建议闲鱼价：¥105.9（诚心可小刀）
• 成本参考：代发约 ¥48.0，单件利润约 ¥55.9（毛利率 53%）

【商品描述】
🔥 热门 IP 周边，造型还原、细节在线，自留摆桌面 C 位或送礼都有面儿。
✅ 比线下谷子店/官谷便宜一大截，学生党也 hold 住。
📦 仓库现货，48h 内发货，全国包邮（偏远地区补差价）。

【瑕疵说明】
全新代发件，无使用痕迹；如介意细微出厂品控属正常，介意慎拍。

【配件说明】
默认款含本体；如有赠品/礼盒以 1688 详情页为准，下单可让商家一并发出。

【交易说明】
• 包邮！默认圆通/中通，急发可留言指定。
• 当天/次日发货，物流单号同步闲鱼。
• 非质量问题不退不换，收到请当面验收；贵重款建议录开箱视频。

💬 喜欢的直接拍，诚心要价格好商量～ 也可私信我帮你留货！",105.9,0,10,玩具>模型玩具>手办模型,全新,浙江,https://cbu01.alicdn.com/img/ibank/O1CN01UahgCBSaDBG1chua_!!2217534942817-0-cib.jpg,https://detail.1688.com/offer/1075340036933.html,48.0,55.9
