#,闲鱼在售标题,1688货源链接,1688供应商,代发价(¥),建议闲鱼零售价(¥),预估单件利润(¥),发货时效(h),下单规格备注,买家收货信息(从闲鱼订单复制),1688代发订单号(下单后回填),物流单号(回填→闲鱼一键发货)
1,【尘白禁区】二次元周边 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1053013947539.html,肃宁县博荣商贸有限公司,11.0,24.8,11.8,72,一件代发·默认款(无特别要求选混发/随机),,,
2,【魔女之旅】手办模型 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/902693303074.html,广州喵漫电子商务有限公司,11.0,24.8,11.8,48,一件代发·默认款(无特别要求选混发/随机),,,
3,【火影】手办模型 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1068859307420.html,东莞市星之谷动漫文化有限公司,9.9,21.9,10.0,48,一件代发·默认款(无特别要求选混发/随机),,,
4,【新款一二布布】毛绒玩偶 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1049558844061.html,容城县屹星毛绒玩具店（个体工商户）,18.0,39.9,19.9,48,一件代发·默认款(无特别要求选混发/随机),,,
5,【爱莉希雅】手办模型 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1009630508705.html,睿彩欣(深圳)贸易有限公司,21.5,47.8,24.3,—,一件代发·默认款(无特别要求选混发/随机),,,
6,【初音】手办模型 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1057617074906.html,东莞市宇政玟贸易有限公司,8.5,18.9,8.4,48,一件代发·默认款(无特别要求选混发/随机),,,
7,【魔女之旅】手办模型 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/901654207169.html,广州喵漫电子商务有限公司,8.0,17.9,7.9,48,一件代发·默认款(无特别要求选混发/随机),,,
8,【动漫美少女裙】二次元周边 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1075398944280.html,揭阳市榕城区超次元电子商务商行,16.0,35.8,17.8,48,一件代发·默认款(无特别要求选混发/随机),,,
9,【动漫美少女 】手办模型 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1074339397816.html,泉州市丰泽区育伊玩具商行,15.0,33.8,16.8,48,一件代发·默认款(无特别要求选混发/随机),,,
10,【蔚蓝档案】手办模型 正版授权 包邮 送闺蜜送男友 自留绝美,https://detail.1688.com/offer/1075340036933.html,广州小新动漫有限公司,48.0,105.9,55.9,—,一件代发·默认款(无特别要求选混发/随机),,,
